Rep,pH,Nutrients,Shoot_length,Sht_g_DW,Rhi_Elong_cm,Rhi_mass_g_DW
4,7.43,Nutrients added,49.2,0.2679,0.6,0.1728
5,7.43,Nutrients added,73,0.3327,2.6,0.3377
6,7.43,Nutrients added,49.2,0.286,1,0.2769
7,7.43,Nutrients added,48.6,0.2771,3.2,0.2786
8,7.43,Nutrients added,39.6,0.2574,2.6,0.2541
9,7.43,Nutrients added,44.2,0.3802,0.2,0.1843
10,7.43,Nutrients added,43.2,0.1702,1.8,0.1757
11,7.43,Nutrients added,40.8,0.2518,2.2,0.236
12,7.43,Nutrients added,35.8,0.3389,3.8,0.6094
13,7.43,Nutrients added,37.8,0.2648,0.6,0.2212
14,7.43,Nutrients added,22.4,0.1427,0,0.1479
15,7.43,Nutrients added,55.6,0.3347,2.4,0.2366
16,7.43,Nutrients added,na,na,na,na
17,7.43,Nutrients added,44.4,0.0451,2,0.2558
18,7.43,Nutrients added,10.8,0.0124,3,0.2367
19,7.43,Nutrients added,na,na,na,na
20,7.43,Nutrients added,36.8,0.1948,0.2,0.1639
21,7.43,Nutrients added,37.8,0.3712,0,0.1848
22,7.43,Nutrients added,na,na,na,na
23,7.43,Nutrients added,na,na,na,na
24,7.43,Nutrients added,na,na,na,na
25,7.43,Nutrients added,na,na,na,na
12a,7.43,Nutrients added,20.4,0.1392,na,na
1,7.58,Nutrients added,40,0.3255,0.2,0.2625
2,7.58,Nutrients added,35,0.3929,2,0.3807
3,7.58,Nutrients added,56,0.5895,2.4,0.349
4,7.58,Nutrients added,35,0.2947,2,0.3922
5,7.58,Nutrients added,74,0.5322,2,0.3048
6,7.58,Nutrients added,42,0.2927,2,0.3942
7,7.58,Nutrients added,70,0.3581,2,0.3073
8,7.58,Nutrients added,34,0.3022,1.2,0.2459
9,7.58,Nutrients added,49.6,0.3352,1.6,0.4963
10,7.58,Nutrients added,56,0.3786,1.6,0.2781
11,7.58,Nutrients added,50.2,0.4417,2.8,0.4565
12,7.58,Nutrients added,32.6,0.3044,2.4,0.4169
13,7.58,Nutrients added,55.2,0.3581,3,0.4874
14,7.58,Nutrients added,49.8,0.2437,0.8,0.1894
15,7.58,Nutrients added,63,0.3626,0,0.24
16,7.58,Nutrients added,48.8,0.2003,1.6,0.2517
17,7.58,Nutrients added,45.8,0.2519,2.6,0.3008
18,7.58,Nutrients added,51.4,0.3868,2.4,0.4418
19,7.58,Nutrients added,39.4,0.288,2.2,0.2894
20,7.58,Nutrients added,48.4,0.2779,2,0.2753
21,7.58,Nutrients added,40.8,0.2466,-0.8,0.1697
22,7.58,Nutrients added,24.8,0.1309,0,0.2672
23,7.58,Nutrients added,na,na,na,na
24,7.58,Nutrients added,18.8,0.1766,1.8,0.3947
25,7.58,Nutrients added,na,na,na,na
1,7.73,Nutrients added,41.8,0.301,1.4,0.256
2,7.73,Nutrients added,59.8,0.4159,1.6,0.3661
3,7.73,Nutrients added,43.8,0.2073,-2.8,0.1338
4,7.73,Nutrients added,18.4,0.4715,-3,0.1732
5,7.73,Nutrients added,45.8,0.3163,1.2,0.2428
6,7.73,Nutrients added,47,0.5144,0.8,0.2785
7,7.73,Nutrients added,45,0.3691,2.2,0.287
8,7.73,Nutrients added,na,na,na,na
9,7.73,Nutrients added,59.4,0.2608,1.2,0.2737
10,7.73,Nutrients added,58,0.4635,1.8,0.2166
11,7.73,Nutrients added,37.8,0.3917,-0.2,0.14
12,7.73,Nutrients added,48.6,0.2701,-0.1,0.2331
13,7.73,Nutrients added,58.4,0.3024,1.4,0.2806
14,7.73,Nutrients added,na,na,na,na
15,7.73,Nutrients added,na,na,na,na
16,7.73,Nutrients added,na,na,na,na
17,7.73,Nutrients added,na,na,na,na
18,7.73,Nutrients added,na,na,na,na
19,7.73,Nutrients added,36.2,0.282,1,0.4517
20,7.73,Nutrients added,25.8,0.1553,0.8,0.2045
21,7.73,Nutrients added,38.8,0.2459,2.8,0.2074
22,7.73,Nutrients added,39.2,0.2235,1.4,0.4153
23,7.73,Nutrients added,41.2,0.2154,0.4,0.1975
24,7.73,Nutrients added,32.2,0.4729,2.2,0.2355
25,7.73,Nutrients added,39.4,0.3201,na,na
26,7.73,Nutrients added,34.2,0.2114,0.2,0.2071
26a,7.73,Nutrients added,14.3,0.042,na,na
1,7.86,Nutrients added,48,0.3168,2.4,0.5978
2,7.86,Nutrients added,61,0.4082,3,0.832
3,7.86,Nutrients added,44,0.3226,0.2,0.2898
4,7.86,Nutrients added,53,0.2784,1.4,0.5432
5,7.86,Nutrients added,50,0.2369,0.2,0.1811
6,7.86,Nutrients added,24,0.2651,1,0.6469
7,7.86,Nutrients added,52,0.3493,2,0.3781
8,7.86,Nutrients added,na,na,na,na
9,7.86,Nutrients added,32.4,0.2832,3,0.4035
10,7.86,Nutrients added,44,0.283,1,0.1825
11,7.86,Nutrients added,44,0.185,-0.8,0.1347
12,7.86,Nutrients added,46,0.2684,2,0.2562
13,7.86,Nutrients added,42,0.2189,1.8,0.2242
14,7.86,Nutrients added,38,0.304,3.2,0.3102
15,7.86,Nutrients added,na,na,na,na
16,7.86,Nutrients added,47,0.2741,1.2,0.3082
17,7.86,Nutrients added,44,0.1928,2,0.3301
18,7.86,Nutrients added,36,0.2085,1.2,0.2794
19,7.86,Nutrients added,43,0.1733,3,0.404
20,7.86,Nutrients added,41,0.2352,3,0.3782
21,7.86,Nutrients added,19,0.1376,0,0.6573
22,7.86,Nutrients added,44,0.2712,3,0.4386
23,7.86,Nutrients added,44,0.2832,2.4,0.2701
24,7.86,Nutrients added,22,0.1679,2,0.3494
25,7.86,Nutrients added,27,0.2439,2.4,0.4704
25a,7.86,Nutrients added,33,na,na,na
